"COD_VIAJE","CLIENTE","UBICACION","CANTIDAD","PILOTO","Q","CREDITO","UNIDAD","FECHA"
10000001,"EL PINCHE OBELISCO / Despacho a cliente",76002,1200,"Fernando Mariano Berrio",300,30,"Camion Grande","01-2018"
10000002,"TAQUERIA EL CHINITO |||Faltante",76002,1433,"Hector Aragones Frutos",358.25,90,"Camion Grande","01-2018"
10000003,"TIENDA LA BENDICION / Despacho a cliente",76002,1857,"Pedro Alvarez Parejo",464.25,60,"Camion Grande","01-2018"
10000004,"TAQUERIA EL CHINITO",76002,339,"Angel Valdez Alegria",84.75,30,"Panel","01-2018"
10000005,"CHICHARRONERIA EL RICO COLESTEROL |||Faltante",76001,1644,"Juan Francisco Portillo Gomez",411,30,"Camion Grande","01-2018"
10000006,"UBIQUO LABS |||FALTANTE",76001,1827,"Luis Jaime Urbano",456.75,30,"Camion Grande","01-2018"
10000007,"CHICHARRONERIA EL RICO COLESTEROL |||Faltante",76002,1947,"Ismael Rodero Monteagudo",486.75,90,"Camion Grande","01-2018"
10000008,"TAQUERIA EL CHINITO |||Faltante",76001,1716,"Juan Francisco Portillo Gomez",429,60,"Camion Grande","01-2018"
10000009,"EL GALLO NEGRO |||DEVOLUCION",76002,1601,"Ismael Rodero Monteagudo",400.25,30,"Camion Grande","01-2018"
10000010,"CHICHARRONERIA EL RICO COLESTEROL |||Faltante",76002,1343,"Fernando Mariano Berrio",335.75,90,"Camion Grande","01-2018"
10000011,"EL GALLO NEGRO / Despacho a cliente",76001,1782,"Luis Jaime Urbano",445.5,60,"Camion Grande","01-2018"
10000012,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76002,234,"Felipe Villatoro",58.5,30,"Panel","01-2018"
10000013,"POLLO PINULITO|||FALTANTE",76001,1542,"Hector Aragones Frutos",385.5,60,"Camion Grande","01-2018"
10000014,"EL GALLO NEGRO / Despacho a cliente",76001,304,"Hector Aragones Frutos",76,90,"Panel","01-2018"
10000015,"TAQUERIA EL CHINITO",76001,1667,"Luis Jaime Urbano",416.75,90,"Camion Grande","01-2018"
10000016,"EL PINCHE OBELISCO / Despacho a cliente",76002,1325,"Luis Jaime Urbano",331.25,30,"Camion Grande","01-2018"
10000017,"SPORTA, S.A./Despacho a cliente |||Faltante",76002,1186,"Ismael Rodero Monteagudo",296.5,30,"Camion Grande","01-2018"
10000018,"TIENDA LA BENDICION / Despacho a cliente",76002,231,"Ismael Rodero Monteagudo",57.75,60,"Panel","01-2018"
10000019,"HOSPITAL ROOSEVELT / Despacho a cliente",76002,783,"Pedro Alvarez Parejo",195.75,30,"Camion Pequeño","01-2018"
10000020,"UBIQUO LABS",76001,971,"Felipe Villatoro",242.75,60,"Camion Pequeño","01-2018"
10000021,"TIENDA LA BENDICION / Despacho a cliente",76002,547,"Fernando Mariano Berrio",136.75,90,"Camion Pequeño","01-2018"
10000022,"BAR LA OFICINA",76001,1550,"Fernando Mariano Berrio",387.5,30,"Camion Grande","01-2018"
10000023,"UBIQUO LABS |||FALTANTE",76001,335,"Pedro Alvarez Parejo",83.75,60,"Panel","01-2018"
10000024,"TIENDA LA BENDICION / Despacho a cliente",76002,1173,"Pedro Alvarez Parejo",293.25,90,"Camion Grande","01-2018"
10000025,"TIENDA LA BENDICION / Despacho a cliente",76001,1061,"Fernando Mariano Berrio",265.25,60,"Camion Grande","01-2018"
10000026,"CHICHARRONERIA EL RICO COLESTEROL |||Faltante",76002,840,"Juan Francisco Portillo Gomez",210,30,"Camion Pequeño","01-2018"
10000027,"ABARROTERIA EBENEZER/Despacho a cliente",76002,795,"Fernando Mariano Berrio",198.75,60,"Camion Pequeño","01-2018"
10000028,"SPORTA, S.A./Despacho a cliente |||Faltante",76002,1330,"Angel Valdez Alegria",332.5,30,"Camion Grande","01-2018"
10000029,"HOSPITAL ROOSEVELT / Despacho a cliente",76001,1648,"Juan Francisco Portillo Gomez",412,30,"Camion Grande","01-2018"
10000030,"TAQUERIA EL CHINITO",76002,1502,"Hector Giron",375.5,90,"Camion Grande","01-2018"
10000031,"ABARROTERIA EBENEZER/Despacho a cliente",76001,1659,"Juan Francisco Portillo Gomez",414.75,30,"Camion Grande","01-2018"
10000032,"TAQUERIA EL CHINITO",76002,1508,"Hector Giron",377,60,"Camion Grande","01-2018"
10000033,"EL PINCHE OBELISCO |||Faltante",76002,875,"Juan Francisco Portillo Gomez",218.75,60,"Camion Pequeño","01-2018"
10000034,"UBIQUO LABS",76001,342,"Hector Aragones Frutos",85.5,60,"Panel","01-2018"
10000035,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76001,1980,"Pedro Alvarez Parejo",495,60,"Camion Grande","01-2018"
10000036,"UBIQUO LABS |||FALTANTE",76002,1442,"Felipe Villatoro",360.5,30,"Camion Grande","01-2018"
10000037,"EL PINCHE OBELISCO |||Faltante",76001,1467,"Hector Aragones Frutos",366.75,60,"Camion Grande","01-2018"
10000038,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,1991,"Hector Aragones Frutos",497.75,90,"Camion Grande","01-2018"
10000039,"ABARROTERIA EBENEZER/Despacho a cliente",76001,1589,"Hector Aragones Frutos",397.25,30,"Camion Grande","01-2018"
10000040,"TAQUERIA EL CHINITO",76001,732,"Felipe Villatoro",183,30,"Camion Pequeño","01-2018"
10000041,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76002,766,"Felipe Villatoro",191.5,30,"Camion Pequeño","01-2018"
10000042,"UBIQUO LABS |||FALTANTE",76002,827,"Hector Aragones Frutos",206.75,90,"Camion Pequeño","01-2018"
10000043,"TIENDA LA BENDICION / Despacho a cliente",76001,1027,"Fernando Mariano Berrio",256.75,60,"Camion Grande","01-2018"
10000044,"ABARROTERIA EBENEZER/Despacho a cliente",76001,1706,"Luis Jaime Urbano",426.5,60,"Camion Grande","01-2018"
10000045,"HOSPITAL ROOSEVELT / Despacho a cliente",76001,1044,"Ismael Rodero Monteagudo",261,60,"Camion Grande","01-2018"
10000046,"HOSPITAL ROOSEVELT / Despacho a cliente",76002,596,"Luis Jaime Urbano",149,60,"Camion Pequeño","01-2018"
10000047,"EL GALLO NEGRO |||DEVOLUCION",76002,362,"Luis Jaime Urbano",90.5,90,"Panel","01-2018"
10000048,"SPORTA, S.A./Despacho a cliente |||Faltante",76002,1937,"Ismael Rodero Monteagudo",484.25,60,"Camion Grande","01-2018"
10000049,"POLLO PINULITO/Despacho a cliente",76002,297,"Angel Valdez Alegria",74.25,90,"Panel","01-2018"
10000050,"TIENDA LA BENDICION / Despacho a cliente",76001,400,"Ismael Rodero Monteagudo",100,90,"Panel","01-2018"
10000051,"HOSPITAL LAS AMERICAS",76001,225,"Hector Aragones Frutos",56.25,60,"Panel","01-2018"
10000052,"BAR LA OFICINA",76002,562,"Ismael Rodero Monteagudo",140.5,60,"Camion Pequeño","01-2018"
10000053,"EL GALLO NEGRO / Despacho a cliente",76001,1791,"Fernando Mariano Berrio",447.75,60,"Camion Grande","01-2018"
10000054,"ABARROTERIA EBENEZER/Despacho a cliente",76001,356,"Luis Jaime Urbano",89,30,"Panel","01-2018"
10000055,"POLLO PINULITO/Despacho a cliente",76002,1903,"Luis Jaime Urbano",475.75,30,"Camion Grande","01-2018"
10000056,"BAR LA OFICINA",76002,1231,"Pedro Alvarez Parejo",307.75,30,"Camion Grande","01-2018"
10000057,"EL PINCHE OBELISCO |||Faltante",76002,1682,"Hector Aragones Frutos",420.5,60,"Camion Grande","01-2018"
10000058,"UBIQUO LABS",76001,1653,"Pedro Alvarez Parejo",413.25,90,"Camion Grande","01-2018"
10000059,"TIENDA LA BENDICION / Despacho a cliente",76001,1907,"Angel Valdez Alegria",476.75,30,"Camion Grande","01-2018"
10000060,"BAR LA OFICINA",76002,1954,"Ismael Rodero Monteagudo",488.5,90,"Camion Grande","01-2018"
10000061,"BAR LA OFICINA",76002,1177,"Pedro Alvarez Parejo",294.25,90,"Camion Grande","01-2018"
10000062,"TAQUERIA EL CHINITO",76001,1247,"Juan Francisco Portillo Gomez",311.75,90,"Camion Grande","01-2018"
10000063,"UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente",76001,1551,"Hector Giron",387.75,90,"Camion Grande","01-2018"
